Date,Inflation Rate
2000-01-01,4.141657647020610
2001-01-01,1.973041917299140
2002-01-01,2.801155051807470
2003-01-01,4.139065386868580
2004-01-01,2.286217068016750
2005-01-01,2.560161323302340
2006-01-01,2.304687329785550
2007-01-01,2.372651836697190
2008-01-01,4.669008419024850
2009-01-01,0.326276652249794
2010-01-01,2.430040841022540
2011-01-01,3.289449395642110
2012-01-01,2.389054100423170
2013-01-01,-0.399357676464426
2014-01-01,-1.354988854463150
2015-01-01,-2.096997690531100
2016-01-01,-1.429166666666650
2017-01-01,0.531766496174467
2018-01-01,1.435491195317590
2019-01-01,0.250370996758493
2020-01-01,-0.638422797978959
2021-01-01,2.446088671754740
2022-01-01,8.395482979933339
2023-01-01,3.541341887516630
2024-01-01,1.800230186248150
